aaaa	工 恭恭敬敬
aaah	葡萄牙
aaan	工艺
aaar	工匠
aaaw	葡萄牙人
aad	式
aadg	工厂
aadk	匿
aadn	慝
aadw	萁
aafb	工地
aafd	甙
aaff	苷
aafn	工场
aafw	工夫
aagk	工事
aago	戒严
aaht	芽
aahw	工具
aaie	卧薪尝胆
aais	葡萄酒
aajg	黄药师 蕴藏量
aak	戒
aakk	工艺品
aanf	苣
aans	葉
aaog	工业
aape	工农
aaqh	蔕
aaqy	工贸
aar	戔
aarg	工兵
aarx	戒指
aatk	工程
aatl	戒备
aatn	蘙
aatu	莫斯科
aauk	工部
aaum	工商
aauq	工资
aawf	工会
aawt	工作
aaww	工人
aayc	工序
abci	藂
abdq	欧阳克
abdw	节奏
abef	荫
abf	茸 芓
abh	邛
abhh	节目
abhk	节点
abib	菡
abio	蒸
abir	蒸汽
abit	节省
abiu	荪
abj	节
abjj	节日
abjm	范子愚
abmj	茁
abnb	芤
abnt	蒸发
abqt	欧阳锋
abrm	节制
abrn	蒸气
abry	菰
abtd	蒸笼
abut	萨
abv	匜
abwc	蔭
abxq	节约
acaf	茎
acb	芭
acbl	蓩
acbt	茅
acdp	斯巴达
ackf	苔
acng	茅屋
adad	苦苦
adaj	莽
adat	蔵
aday	葫芦
adbb	其子 苊
adbv	期限
adcw	苦难
adcy	欺骗
addb	基础
addj	若非
ade	戎
adf	苦
adfb	基地
adff	蓐
adfg	若干 其二
adfi	萘
adfj	期刊
adgc	甚至
adgf	基于
adgg	其一
adgt	葳
adhb	荐
adhd	葜
adhf	茬
adhh	项目
adij	藉
adiy	藕
adjd	菲 匪
adjf	其时
adjn	菴
adkb	鄀
adkf	若
adkh	其中
adkn	惹
adlb	苈
adld	基因
adlt	巧克力
admw	其内
admy	项 項
adnf	基层
adnn	项羽
adnt	藏 茂
adny	苦恼
adov	基数
adpn	茂密 斯密
adpu	其实
adpx	其它
adqm	欺负
adqq	基金
adrg	其后
adrp	勘探
adsg	基本 斟酌
adss	斯大林 区雄楚
adtc	甚么
adtf	期待
adtt	苦笑
adud	苦头
aduj	期间 其间
aduk	基部
aduq	其次
aduw	蕨
adwa	戡
adwb	其他
adwd	碁
adwe	期
adwf	基 斟 卙
adwi	綦
adwl	勘
adwn	甚
adwq	其父
adwr	斯
adwt	其余 欺侮 蓁
adwu	其
adww	欺 蒙古人
adwx	期货
adwy	諅
adxb	茏
adyl	甚为
adym	黄石市
adyn	期望
adyt	藏族 蒙古族
aeb	艿
aebc	菔
aebf	莩
aedm	散布
aeej	蒯
aeeq	藐
aegf	苴
aehi	散步
aent	散发
aeqd	菜肴
